,eo_model_name,month_year,calendar_fond,downtime
0,Самосвалы CAT 785C,10_2023,29760,2596.5
1,Самосвалы CAT 785C,10_2024,25296,2403.74
2,Самосвалы CAT 785C,10_2025,3720,1633.6200000000001
3,Самосвалы CAT 785C,11_2023,28800,2614.64
4,Самосвалы CAT 785C,11_2024,24480,2722.94
5,Самосвалы CAT 785C,11_2025,3600,1507.02
6,Самосвалы CAT 785C,12_2023,29760,2980.36
7,Самосвалы CAT 785C,12_2024,25296,2466.64
8,Самосвалы CAT 785C,12_2025,3720,1611.9
9,Самосвалы CAT 785C,1_2023,52080,3115.3799999999997
10,Самосвалы CAT 785C,1_2024,29760,3084.76
11,Самосвалы CAT 785C,1_2025,25296,2969.54
12,Самосвалы CAT 785C,2_2023,46369,3388.7
13,Самосвалы CAT 785C,2_2024,27840,2510.52
14,Самосвалы CAT 785C,2_2025,22848,2659.2
15,Самосвалы CAT 785C,3_2023,51336,4016.16
16,Самосвалы CAT 785C,3_2024,29760,2598.2
17,Самосвалы CAT 785C,3_2025,25296,2298.06
18,Самосвалы CAT 785C,4_2023,49680,3374.88
19,Самосвалы CAT 785C,4_2024,28800,6751.06
20,Самосвалы CAT 785C,4_2025,24480,2547.7799999999997
21,Самосвалы CAT 785C,5_2023,51336,3354.68
22,Самосвалы CAT 785C,5_2024,29760,8767.76
23,Самосвалы CAT 785C,5_2025,25296,2512.7799999999997
24,Самосвалы CAT 785C,6_2023,49680,3669.74
25,Самосвалы CAT 785C,6_2024,28800,2411.26
26,Самосвалы CAT 785C,6_2025,24480,2525.1
27,Самосвалы CAT 785C,7_2023,29789,3108.92
28,Самосвалы CAT 785C,7_2024,25302,3612.34
29,Самосвалы CAT 785C,7_2025,3749,1708.6000000000001
30,Самосвалы CAT 785C,8_2023,29760,2446.14
31,Самосвалы CAT 785C,8_2024,25296,2306.2400000000002
32,Самосвалы CAT 785C,8_2025,3720,3527.46
33,Самосвалы CAT 785C,9_2023,28800,2991.7999999999997
34,Самосвалы CAT 785C,9_2024,24480,2454.92
35,Самосвалы CAT 785C,9_2025,3600,2383.62
