maintanance_category_id,maintanance_name
eto,ЕТО
to250,ТО1-250
to500,ТО2-500
to1000,ТО3-1000
to2000,ТО4-2000
to5000,ТО5-5000
tr,ТР
eng_overhaul,Кдвс (Замена)
trans_overhaul,Ккпп (Замена)
diff_overhaul,Кгп (Замена)
fd_overhaul,Кбп
tr_hs,ТР ГС
tr_dpf,ТР Демпфер
tr_susp,ТР Подвески
lining_partitial,СВч (частичная футеровка)
lining_full,СВп (полная футеровка)
to1500,ТО4-1500
to2500,ТО6-2500
to4000,ТО7-4000
to8000,ТО9-8000
to10000,ТО10-10000
gen_overhaul,Кген(Замена)
kmk_overhaul,Кмк (Замена)
tr_mo,ТРмо (Замена)
to6000,ТО-6000
to12000,ТО-12000
to_suppl_systems,ТО доп систем
tr_suppl_systems,Трдоп.сист.
tr_middle,Трсред
overhaul_total,КР
tyre_repl,Замена колес (6 шт)
