,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные
eo_model_name,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C
year,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
downtime,62.48,81.84,89.82000000000001,62.82,84.48,71.48,82.48,64.14,97.16,73.14,81.82000000000001,72.48,70.14,77.16,60.14,104.16,64.14,82.82000000000001,526.94,163.18,67.14,96.14,83.48,63.8,87.8,68.82000000000001,65.8,86.82000000000001,68.8,83.14,0.0,0.0,0.0,0.0,0.0,0.0
to_suppl_systems,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to500,4.0,4.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
tr,40.0,60.0,40.0,40.0,60.0,40.0,60.0,40.0,60.0,40.0,59.0,41.0,46.0,54.0,41.0,60.0,40.0,60.0,40.0,56.0,44.0,40.0,60.0,40.0,60.0,40.0,41.0,59.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
to2000,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overhaul_total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to1000,0.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to12000,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eto,20.46,18.48,20.46,19.8,20.46,19.8,20.46,20.46,19.8,20.46,19.8,20.46,20.46,19.14,20.46,19.8,20.46,19.8,20.46,20.46,19.8,20.46,19.8,20.46,20.46,18.48,20.46,19.8,20.46,19.8,0.0,0.0,0.0,0.0,0.0,0.0
tr_middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr_suppl_systems,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
