month_year,month_year_sort_index,"dowtime_plan, hours"
1_2023,1,9985.4
2_2023,2,8780.0
3_2023,3,8476.4
4_2023,4,8908.9
5_2023,5,9731.0
6_2023,6,11442.7
7_2023,7,9144.1
8_2023,8,14533.8
9_2023,9,11664.2
10_2023,10,10591.0
11_2023,11,15953.6
12_2023,12,11996.9
1_2024,13,11921.6
2_2024,14,13034.7
3_2024,15,13552.7
4_2024,16,10084.2
5_2024,17,13767.2
6_2024,18,13051.9
7_2024,19,12730.1
8_2024,20,9417.2
9_2024,21,10260.3
10_2024,22,10817.7
11_2024,23,12157.4
12_2024,24,12436.2
1_2025,25,12828.5
2_2025,26,12222.1
3_2025,27,11417.9
4_2025,28,11022.4
5_2025,29,9387.5
6_2025,30,11504.0
7_2025,31,8724.0
8_2025,32,8732.7
9_2025,33,9272.2
10_2025,34,8673.4
11_2025,35,8024.9
12_2025,36,11043.5
